id;exam_title;details;required_time;total_mark;max_total_mark
1;generating;Computers Small Fresh Gloves back-end;interface;82786;76999
2;lavender;Club backing up;Iran;54063;69951
3;Metal Frozen;Buckinghamshire alliance redundant;content;74404;7845
4;Electronics;Refined infomediaries Som;Salad;15643;44235
5;Optimized;microchip;Response invoice;51669;73789
6;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;Garden;11607;9179
7;Small;JBOD;Shoes Music connect;80691;47347
8;Shoes systems;Generic Frozen Tuna HTTP;implement;62585;93343
9;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;67716;38816
10;deposit Station;parsing Investment Account;Branding Dynamic black;6936;21458
